seriesID,Versus,teamID,teamName,position,players,kills,deaths,creep_score,gpm,madstone_collected,tower_kills,obs_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,roshan_kills,teamfight_participation,stuns,courier_kills,tormentor_kills,firstblood_claimed
1130305,BoomBoys vs TEAM VISION,9572001,TEAM VISION,core,Satanic & Noticed,1230.5,3120.0,4704.0,3378.0,617.5,2288.0,,,,,,1758.0,3081.51,375.34,351.5,439.5,0.0
1130305,BoomBoys vs TEAM VISION,9572001,TEAM VISION,mid,No[o]ne-,2140.0,2145.0,2862.0,2640.0,195.0,352.0,351.0,468.0,3525.0,2205.0,0.0,0.0,3487.47,443.33,0.0,0.0,0.0
1130305,BoomBoys vs TEAM VISION,9572001,TEAM VISION,support,9Class & Dukalis,,,,,,,2574.0,1638.0,916.5,2352.0,2490.5,1172.0,2264.46,493.83,1406.0,0.0,967.0
1130641,BoomBoys vs Team Falcons,8255888,BoomBoys,core,Kiritych~ & MieRo,1551.5,3315.0,2899.5,2653.0,455.0,1584.0,,,,,,1172.0,2854.12,494.5,351.5,1318.5,967.0
1130641,BoomBoys vs Team Falcons,8255888,BoomBoys,mid,gpk~,1819.0,3510.0,2577.0,2454.0,494.0,704.0,468.0,1872.0,3948.0,294.0,0.0,0.0,2947.05,1017.34,0.0,0.0,0.0
1130641,BoomBoys vs Team Falcons,8255888,BoomBoys,support,Save- & Kataomi`,,,,,,,2106.0,1170.0,987.0,2425.5,2197.5,0.0,2659.08,998.33,1406.0,0.0,0.0
1130641,BoomBoys vs Team Falcons,9247354,Team Falcons,core,skiter & AMMAR_THE_F,1391.0,3022.5,3012.0,3053.0,513.5,2640.0,,,,,,1758.0,3032.01,213.81,351.5,879.0,0.0
1130641,BoomBoys vs Team Falcons,9247354,Team Falcons,mid,Malr1ne,1177.0,2925.0,2166.0,2396.0,377.0,1056.0,468.0,1638.0,1833.0,441.0,0.0,1172.0,3823.2,795.19,0.0,0.0,1934.0
1130641,BoomBoys vs Team Falcons,9247354,Team Falcons,support,Sneyking & Cr1t-,,,,,,,2164.5,1404.0,1480.5,2646.0,2197.5,0.0,3085.11,921.67,1054.5,0.0,967.0
1130950,GamerLegion vs Iron Wing,9964962,GamerLegion,core,Ghost & Fayde,428.0,1365.0,1881.0,1889.0,403.0,528.0,,,,,,0.0,1848.29,470.33,0.0,0.0,0.0
1130950,GamerLegion vs Iron Wing,9964962,GamerLegion,mid,RCY,963.0,3120.0,1944.0,2218.0,286.0,1056.0,117.0,234.0,1410.0,0.0,0.0,1172.0,2900.08,885.66,703.0,0.0,0.0
1130950,GamerLegion vs Iron Wing,9964962,GamerLegion,support,Speeed & Bignum,,,,,,,1813.5,1053.0,634.5,1764.0,1758.0,0.0,3027.72,980.58,0.0,0.0,0.0
1130950,GamerLegion vs Iron Wing,10150413,Iron Wing,core,33 & Pure,1605.0,3120.0,2157.0,2758.0,416.0,2288.0,,,,,,1758.0,2360.74,364.83,351.5,0.0,1934.0
1130950,GamerLegion vs Iron Wing,10150413,Iron Wing,mid,bzm,2461.0,3510.0,1905.0,2834.0,260.0,1056.0,468.0,468.0,4089.0,441.0,0.0,1172.0,2960.32,424.01,1406.0,1758.0,0.0
1130950,GamerLegion vs Iron Wing,10150413,Iron Wing,support,Ari & Whitemon,,,,,,,1579.5,1053.0,564.0,1837.5,1465.0,0.0,2219.14,1000.83,351.5,0.0,0.0
1130622,GamerLegion vs OG,9964962,GamerLegion,core,Ghost & Fayde,1391.0,3412.5,2481.0,2971.0,487.5,1936.0,,,,,,1172.0,2503.96,493.68,351.5,0.0,0.0
1130622,GamerLegion vs OG,9964962,GamerLegion,mid,RCY,2033.0,3315.0,1530.0,2392.0,78.0,704.0,468.0,1170.0,2538.0,441.0,0.0,0.0,3181.28,739.99,703.0,0.0,1934.0
